Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747425076197
Timestamp end: 1747425876467

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      268.1   261.5    68.9   107.9   119.5   201.8   255.9   292.6   323.8   373.3   468.5   639.6  1261.5  2996.7  7294.4 108333.2   108232
read      205.6   109.3    54.7   104.0   114.0   201.9   233.9   250.4   262.0   274.6   292.2   318.0   383.3  1113.2  4812.0  39184.8    39166
read      201.5    76.4    63.8   102.7   112.1   198.7   233.7   251.2   263.4   276.3   293.9   319.3   372.4   490.5  1923.9  44542.0    44521
read      195.4   105.7    63.8   101.0   110.0   173.7   217.2   243.6   262.7   283.9   309.3   344.6   426.2   700.9  2152.7 105070.2   104945
read      201.4   112.0    59.1   102.4   111.7   178.2   224.4   251.8   270.6   291.5   316.7   354.9   445.6  1014.4  4319.7  97385.7    97301
read      208.1   133.4    63.8   103.2   112.5   189.3   237.8   261.6   276.7   293.8   315.2   346.4   451.9  1231.4  5400.4  72954.8    73173
read      235.2   129.9    63.8   102.6   113.8   221.4   267.3   293.1   311.5   332.6   359.0   399.0   530.7  1567.1  3093.5  40092.3    40131
read      332.8   365.6    68.9   147.2   167.2   265.8   312.0   340.2   362.6   390.2   429.6   528.5  1887.3  3743.7  7851.9 176341.0   176336
read      300.8   401.6    59.1   110.1   122.7   210.2   257.6   284.6   305.3   332.9   379.6  1009.6  2022.3  4033.9  7902.9 127416.8   127312
read      277.7   323.9    63.8   106.4   117.7   206.0   269.9   315.3   355.9   407.6   471.4   582.6  1368.8  4963.4  7727.0  97834.0    97810
